neighborhood_id,avg_unmet
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,52781.455908755226
9,0.0
10,0.0
11,0.0
12,0.0
13,376751.25150953257
14,0.0
15,0.0
16,0.0
17,97786.55348947311
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,18803.185285573032
26,25730.789176072034
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,169769.039088496
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,189679.02697976283
48,349046.66178008664
49,401819.5548050806
50,174494.256124597
51,1.0608181238241734e6
52,0.0
53,1.935054631378996e6
54,0.0
55,225948.611419279
56,45394.51310816329
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,723185.2617942534
70,0.0
71,0.0
72,43569.31717288966
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,349229.07915242674
81,0.0
82,0.0
83,0.0
84,0.0
85,65339.6802
86,0.0
87,0.0
88,50365.891404576665
89,0.0
90,35807.06739129767
91,0.0
92,0.0
93,29986.581365940667
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,103778.02156666666
100,0.0
101,234957.9592127033
102,11578.080049999999
103,0.0
104,0.0
105,0.0
106,0.0
107,233830.32328990466
108,0.0
109,0.0
110,0.0
111,86229.17586203666
112,0.0
113,2846.1241166666664
114,5516.346716389333
115,58653.483666203334
116,557959.3708964367
117,0.0
118,87251.50453189634
119,165176.03894279333
120,135173.072853751
121,0.0
122,268093.2230906403
123,0.0
124,720.8653643566632
125,0.0
126,66784.53213150466
127,1.647325183198e6
128,73181.472887618
129,1.0919448791412825e6
130,185998.089628213
131,0.0
132,54934.83573333333
133,367108.7816666667
134,0.0
135,875557.9352376034
136,0.0
137,2102.4431014536735
138,69708.95143333334
139,336368.965108291
140,500750.8018547834
141,687741.4917521233
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,90671.49984813666
148,0.0
149,472267.78690703894
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,2.207565927005713e6
156,875672.8002735442
157,39002.5345
158,307648.6854476467
159,0.0
160,0.0
161,0.0
162,402960.2733391233
163,35288.95594359333
164,0.0
165,723185.2617942534
166,1.8947757732201833e6
167,2.1690583103798763e6
168,1.071244144512193e6
169,587227.13102825
170,1.6370502050447364e6
171,667323.8542215399
172,723185.2617942534
173,166802.68440934367
174,1.1548755099743598e6
175,811272.7412945641
176,633524.1790088434
177,54134.888881681334
178,0.0
179,454747.13669431
180,0.0
181,0.0
182,802434.2290107269
183,1.7792206721588634e6
184,41593.42782492833
185,0.0
186,0.0
187,477478.5816756173
188,243880.36077310666
189,0.0
190,0.0
191,735546.3384109201
192,0.0
193,0.0
194,103669.25587499166
195,723185.2617942534
196,723185.2617942534
197,265731.63622191997
