neighborhood_id,avg_unmet,w_cost,w_eq,centers_opened
1,0.0,1.0,4.0,136
2,0.0,1.0,4.0,136
3,0.0,1.0,4.0,136
4,0.0,1.0,4.0,136
5,0.0,1.0,4.0,136
6,4376.104012556833,1.0,4.0,136
7,40723.863633300214,1.0,4.0,136
8,40723.863633300214,1.0,4.0,136
9,0.0,1.0,4.0,136
10,229001.1089325,1.0,4.0,136
11,0.0,1.0,4.0,136
12,124455.17158937,1.0,4.0,136
13,229001.1089325,1.0,4.0,136
14,229001.1089325,1.0,4.0,136
15,134125.814189444,1.0,4.0,136
16,0.0,1.0,4.0,136
17,188277.2452991998,1.0,4.0,136
18,0.0,1.0,4.0,136
19,0.0,1.0,4.0,136
20,7849.108208920033,1.0,4.0,136
21,0.0,1.0,4.0,136
22,0.0,1.0,4.0,136
23,40723.863633300214,1.0,4.0,136
24,134733.635373674,1.0,4.0,136
25,18803.185285573032,1.0,4.0,136
26,186766.11486743766,1.0,4.0,136
27,0.0,1.0,4.0,136
28,89079.75160856667,1.0,4.0,136
29,0.0,1.0,4.0,136
30,0.0,1.0,4.0,136
31,0.0,1.0,4.0,136
32,0.0,1.0,4.0,136
33,154280.6800873032,1.0,4.0,136
34,0.0,1.0,4.0,136
35,0.0,1.0,4.0,136
36,198804.86453170553,1.0,4.0,136
37,0.0,1.0,4.0,136
38,0.0,1.0,4.0,136
39,141603.67666466133,1.0,4.0,136
40,208918.86282396605,1.0,4.0,136
41,0.0,1.0,4.0,136
42,0.0,1.0,4.0,136
43,0.0,1.0,4.0,136
44,0.0,1.0,4.0,136
45,229001.1089325,1.0,4.0,136
46,0.0,1.0,4.0,136
47,229001.1089325,1.0,4.0,136
48,229001.1089325,1.0,4.0,136
49,229001.1089325,1.0,4.0,136
50,264167.27855864,1.0,4.0,136
51,229001.1089325,1.0,4.0,136
52,0.0,1.0,4.0,136
53,229001.1089325,1.0,4.0,136
54,0.0,1.0,4.0,136
55,229001.1089325,1.0,4.0,136
56,382118.76539954817,1.0,4.0,136
57,229001.1089325,1.0,4.0,136
58,229001.1089325,1.0,4.0,136
59,0.0,1.0,4.0,136
60,0.0,1.0,4.0,136
61,0.0,1.0,4.0,136
62,0.0,1.0,4.0,136
63,0.0,1.0,4.0,136
64,0.0,1.0,4.0,136
65,0.0,1.0,4.0,136
66,0.0,1.0,4.0,136
67,0.0,1.0,4.0,136
68,0.0,1.0,4.0,136
69,154280.6800873032,1.0,4.0,136
70,0.0,1.0,4.0,136
71,0.0,1.0,4.0,136
72,43569.31717288966,1.0,4.0,136
73,0.0,1.0,4.0,136
74,0.0,1.0,4.0,136
75,0.0,1.0,4.0,136
76,0.0,1.0,4.0,136
77,0.0,1.0,4.0,136
78,0.0,1.0,4.0,136
79,0.0,1.0,4.0,136
80,118777.42696546338,1.0,4.0,136
81,0.0,1.0,4.0,136
82,0.0,1.0,4.0,136
83,0.0,1.0,4.0,136
84,0.0,1.0,4.0,136
85,40723.863633300214,1.0,4.0,136
86,0.0,1.0,4.0,136
87,0.0,1.0,4.0,136
88,50365.891404576665,1.0,4.0,136
89,0.0,1.0,4.0,136
90,35807.06739129767,1.0,4.0,136
91,0.0,1.0,4.0,136
92,0.0,1.0,4.0,136
93,0.0,1.0,4.0,136
94,0.0,1.0,4.0,136
95,0.0,1.0,4.0,136
96,0.0,1.0,4.0,136
97,0.0,1.0,4.0,136
98,0.0,1.0,4.0,136
99,0.0,1.0,4.0,136
100,0.0,1.0,4.0,136
101,0.0,1.0,4.0,136
102,0.0,1.0,4.0,136
103,0.0,1.0,4.0,136
104,0.0,1.0,4.0,136
105,0.0,1.0,4.0,136
106,0.0,1.0,4.0,136
107,0.0,1.0,4.0,136
108,0.0,1.0,4.0,136
109,0.0,1.0,4.0,136
110,0.0,1.0,4.0,136
111,0.0,1.0,4.0,136
112,0.0,1.0,4.0,136
113,0.0,1.0,4.0,136
114,0.0,1.0,4.0,136
115,0.0,1.0,4.0,136
116,0.0,1.0,4.0,136
117,0.0,1.0,4.0,136
118,0.0,1.0,4.0,136
119,0.0,1.0,4.0,136
120,0.0,1.0,4.0,136
121,0.0,1.0,4.0,136
122,218600.47051824888,1.0,4.0,136
123,0.0,1.0,4.0,136
124,0.0,1.0,4.0,136
125,0.0,1.0,4.0,136
126,0.0,1.0,4.0,136
127,0.0,1.0,4.0,136
128,0.0,1.0,4.0,136
129,75592.7346469962,1.0,4.0,136
130,185998.089628213,1.0,4.0,136
131,0.0,1.0,4.0,136
132,40723.863633300214,1.0,4.0,136
133,40723.863633300214,1.0,4.0,136
134,0.0,1.0,4.0,136
135,161769.19920423688,1.0,4.0,136
136,0.0,1.0,4.0,136
137,2102.4431014536735,1.0,4.0,136
138,40723.863633300214,1.0,4.0,136
139,201376.5055082579,1.0,4.0,136
140,154280.6800873032,1.0,4.0,136
141,154280.6800873032,1.0,4.0,136
142,0.0,1.0,4.0,136
143,0.0,1.0,4.0,136
144,0.0,1.0,4.0,136
145,0.0,1.0,4.0,136
146,0.0,1.0,4.0,136
147,90671.49984813666,1.0,4.0,136
148,0.0,1.0,4.0,136
149,298982.0987351694,1.0,4.0,136
150,0.0,1.0,4.0,136
151,0.0,1.0,4.0,136
152,0.0,1.0,4.0,136
153,0.0,1.0,4.0,136
154,0.0,1.0,4.0,136
155,383281.7890198032,1.0,4.0,136
156,306768.2185665939,1.0,4.0,136
157,39002.5345,1.0,4.0,136
158,260112.22300848985,1.0,4.0,136
159,0.0,1.0,4.0,136
160,0.0,1.0,4.0,136
161,0.0,1.0,4.0,136
162,154280.6800873032,1.0,4.0,136
163,35288.95594359333,1.0,4.0,136
164,0.0,1.0,4.0,136
165,154280.6800873032,1.0,4.0,136
166,383281.7890198032,1.0,4.0,136
167,229001.1089325,1.0,4.0,136
168,383281.7890198032,1.0,4.0,136
169,229001.1089325,1.0,4.0,136
170,229001.1089325,1.0,4.0,136
171,229001.1089325,1.0,4.0,136
172,154280.6800873032,1.0,4.0,136
173,154280.6800873032,1.0,4.0,136
174,383281.7890198032,1.0,4.0,136
175,383281.7890198032,1.0,4.0,136
176,229001.1089325,1.0,4.0,136
177,54134.888881681334,1.0,4.0,136
178,0.0,1.0,4.0,136
179,154280.6800873032,1.0,4.0,136
180,0.0,1.0,4.0,136
181,0.0,1.0,4.0,136
182,233529.64730377684,1.0,4.0,136
183,383281.7890198032,1.0,4.0,136
184,41593.42782492833,1.0,4.0,136
185,0.0,1.0,4.0,136
186,0.0,1.0,4.0,136
187,229001.1089325,1.0,4.0,136
188,154280.6800873032,1.0,4.0,136
189,0.0,1.0,4.0,136
190,0.0,1.0,4.0,136
191,166641.75670396985,1.0,4.0,136
192,0.0,1.0,4.0,136
193,0.0,1.0,4.0,136
194,103669.25587499166,1.0,4.0,136
195,154280.6800873032,1.0,4.0,136
196,154280.6800873032,1.0,4.0,136
197,154280.6800873032,1.0,4.0,136
