neighborhood_id,avg_unmet,w_cost,w_eq,centers_opened
1,34047.54142098,1.0,5.0,132
2,111164.21622397,1.0,5.0,132
3,0.0,1.0,5.0,132
4,37884.271552896666,1.0,5.0,132
5,0.0,1.0,5.0,132
6,159906.05708579096,1.0,5.0,132
7,39795.318522953414,1.0,5.0,132
8,77765.80556269008,1.0,5.0,132
9,0.0,1.0,5.0,132
10,214835.19205625425,1.0,5.0,132
11,0.0,1.0,5.0,132
12,124455.17158937,1.0,5.0,132
13,214835.19205625425,1.0,5.0,132
14,214835.19205625425,1.0,5.0,132
15,134125.814189444,1.0,5.0,132
16,0.0,1.0,5.0,132
17,175039.87353330082,1.0,5.0,132
18,0.0,1.0,5.0,132
19,0.0,1.0,5.0,132
20,7849.108208920033,1.0,5.0,132
21,0.0,1.0,5.0,132
22,0.0,1.0,5.0,132
23,39795.318522953414,1.0,5.0,132
24,134733.635373674,1.0,5.0,132
25,18803.185285573032,1.0,5.0,132
26,175039.87353330082,1.0,5.0,132
27,0.0,1.0,5.0,132
28,89079.75160856667,1.0,5.0,132
29,0.0,1.0,5.0,132
30,0.0,1.0,5.0,132
31,0.0,1.0,5.0,132
32,0.0,1.0,5.0,132
33,128124.1814299008,1.0,5.0,132
34,0.0,1.0,5.0,132
35,0.0,1.0,5.0,132
36,197876.31942135876,1.0,5.0,132
37,0.0,1.0,5.0,132
38,0.0,1.0,5.0,132
39,141603.67666466133,1.0,5.0,132
40,208918.86282396605,1.0,5.0,132
41,0.0,1.0,5.0,132
42,0.0,1.0,5.0,132
43,0.0,1.0,5.0,132
44,0.0,1.0,5.0,132
45,214835.19205625425,1.0,5.0,132
46,0.0,1.0,5.0,132
47,214835.19205625425,1.0,5.0,132
48,214835.19205625425,1.0,5.0,132
49,214835.19205625425,1.0,5.0,132
50,250001.36168239426,1.0,5.0,132
51,214835.19205625425,1.0,5.0,132
52,0.0,1.0,5.0,132
53,214835.19205625425,1.0,5.0,132
54,0.0,1.0,5.0,132
55,214835.19205625425,1.0,5.0,132
56,342959.373486155,1.0,5.0,132
57,214835.19205625425,1.0,5.0,132
58,214835.19205625425,1.0,5.0,132
59,7761.806063537333,1.0,5.0,132
60,0.0,1.0,5.0,132
61,0.0,1.0,5.0,132
62,0.0,1.0,5.0,132
63,0.0,1.0,5.0,132
64,0.0,1.0,5.0,132
