neighborhood_id,avg_unmet,w_cost,w_eq,centers_opened
1,34047.54142098,1.0,7.0,135
2,106689.70248304005,1.0,7.0,135
3,0.0,1.0,7.0,135
4,37884.271552896666,1.0,7.0,135
5,0.0,1.0,7.0,135
6,138471.57813893023,1.0,7.0,135
7,26819.632662483247,1.0,7.0,135
8,76973.02153972218,1.0,7.0,135
9,0.0,1.0,7.0,135
10,214042.40803329842,1.0,7.0,135
11,0.0,1.0,7.0,135
12,124455.17158937,1.0,7.0,135
13,214042.40803329833,1.0,7.0,135
14,214042.40803329842,1.0,7.0,135
15,134125.81418944398,1.0,7.0,135
16,0.0,1.0,7.0,135
17,175039.87353331284,1.0,7.0,135
18,0.0,1.0,7.0,135
19,0.0,1.0,7.0,135
20,7849.108208920033,1.0,7.0,135
21,0.0,1.0,7.0,135
22,0.0,1.0,7.0,135
23,39002.534499985515,1.0,7.0,135
24,134733.63537367395,1.0,7.0,135
25,18803.185285573032,1.0,7.0,135
26,175039.8735333129,1.0,7.0,135
27,0.0,1.0,7.0,135
28,89079.75160856667,1.0,7.0,135
29,0.0,1.0,7.0,135
30,0.0,1.0,7.0,135
31,0.0,1.0,7.0,135
32,0.0,1.0,7.0,135
33,106689.70248304005,1.0,7.0,135
34,0.0,1.0,7.0,135
35,0.0,1.0,7.0,135
36,197083.5353983908,1.0,7.0,135
37,0.0,1.0,7.0,135
38,0.0,1.0,7.0,135
39,141603.6766646613,1.0,7.0,135
40,208918.862823966,1.0,7.0,135
41,0.0,1.0,7.0,135
42,0.0,1.0,7.0,135
43,0.0,1.0,7.0,135
44,0.0,1.0,7.0,135
45,214042.40803329836,1.0,7.0,135
46,0.0,1.0,7.0,135
47,214042.40803329842,1.0,7.0,135
48,214042.40803329842,1.0,7.0,135
49,214042.40803329842,1.0,7.0,135
50,249208.57765943834,1.0,7.0,135
51,214042.40803329842,1.0,7.0,135
52,0.0,1.0,7.0,135
53,214042.40803329842,1.0,7.0,135
54,0.0,1.0,7.0,135
55,214042.40803330054,1.0,7.0,135
56,320732.11051633843,1.0,7.0,135
57,214042.40803329882,1.0,7.0,135
