neighborhood_id,avg_unmet,w_cost,w_eq,centers_opened
1,0.0,1.0,2.0,135
2,0.0,1.0,2.0,135
3,0.0,1.0,2.0,135
4,0.0,1.0,2.0,135
5,0.0,1.0,2.0,135
6,0.0,1.0,2.0,135
7,0.0,1.0,2.0,135
8,0.0,1.0,2.0,135
9,0.0,1.0,2.0,135
10,0.0,1.0,2.0,135
11,0.0,1.0,2.0,135
12,124455.17158937,1.0,2.0,135
13,308722.8911023964,1.0,2.0,135
14,308722.89110239624,1.0,2.0,135
15,134125.81418944398,1.0,2.0,135
16,0.0,1.0,2.0,135
17,245496.20126906317,1.0,2.0,135
18,0.0,1.0,2.0,135
19,0.0,1.0,2.0,135
20,0.0,1.0,2.0,135
21,0.0,1.0,2.0,135
22,0.0,1.0,2.0,135
23,0.0,1.0,2.0,135
24,134733.63537367395,1.0,2.0,135
25,18803.185285573032,1.0,2.0,135
26,186766.11486743763,1.0,2.0,135
27,0.0,1.0,2.0,135
28,0.0,1.0,2.0,135
29,0.0,1.0,2.0,135
30,0.0,1.0,2.0,135
31,0.0,1.0,2.0,135
32,0.0,1.0,2.0,135
33,0.0,1.0,2.0,135
34,0.0,1.0,2.0,135
35,0.0,1.0,2.0,135
36,221307.6907317385,1.0,2.0,135
37,0.0,1.0,2.0,135
38,0.0,1.0,2.0,135
39,141603.6766646613,1.0,2.0,135
40,195462.29378849597,1.0,2.0,135
41,0.0,1.0,2.0,135
42,0.0,1.0,2.0,135
43,0.0,1.0,2.0,135
44,0.0,1.0,2.0,135
45,308722.8911023965,1.0,2.0,135
46,0.0,1.0,2.0,135
47,297503.9944357298,1.0,2.0,135
48,308722.8911023964,1.0,2.0,135
49,308722.8911023965,1.0,2.0,135
50,308722.8911023965,1.0,2.0,135
51,308722.8911023965,1.0,2.0,135
52,0.0,1.0,2.0,135
53,308722.8911023965,1.0,2.0,135
54,0.0,1.0,2.0,135
55,0.0,1.0,2.0,135
56,70683.73400127004,1.0,2.0,135
57,245496.20126906355,1.0,2.0,135
58,0.0,1.0,2.0,135
59,0.0,1.0,2.0,135
60,0.0,1.0,2.0,135
61,0.0,1.0,2.0,135
62,0.0,1.0,2.0,135
63,0.0,1.0,2.0,135
64,0.0,1.0,2.0,135
65,0.0,1.0,2.0,135
66,0.0,1.0,2.0,135
67,0.0,1.0,2.0,135
68,0.0,1.0,2.0,135
69,0.0,1.0,2.0,135
70,0.0,1.0,2.0,135
71,0.0,1.0,2.0,135
72,0.0,1.0,2.0,135
73,0.0,1.0,2.0,135
74,0.0,1.0,2.0,135
75,0.0,1.0,2.0,135
76,0.0,1.0,2.0,135
77,0.0,1.0,2.0,135
78,0.0,1.0,2.0,135
79,0.0,1.0,2.0,135
80,53652.066029533475,1.0,2.0,135
81,0.0,1.0,2.0,135
82,0.0,1.0,2.0,135
83,0.0,1.0,2.0,135
84,0.0,1.0,2.0,135
85,0.0,1.0,2.0,135
86,0.0,1.0,2.0,135
87,0.0,1.0,2.0,135
88,0.0,1.0,2.0,135
89,0.0,1.0,2.0,135
90,0.0,1.0,2.0,135
91,0.0,1.0,2.0,135
92,0.0,1.0,2.0,135
93,0.0,1.0,2.0,135
94,0.0,1.0,2.0,135
95,0.0,1.0,2.0,135
96,0.0,1.0,2.0,135
97,0.0,1.0,2.0,135
98,0.0,1.0,2.0,135
99,0.0,1.0,2.0,135
100,0.0,1.0,2.0,135
101,0.0,1.0,2.0,135
102,0.0,1.0,2.0,135
103,0.0,1.0,2.0,135
104,0.0,1.0,2.0,135
105,0.0,1.0,2.0,135
106,0.0,1.0,2.0,135
107,0.0,1.0,2.0,135
108,0.0,1.0,2.0,135
109,0.0,1.0,2.0,135
110,0.0,1.0,2.0,135
111,0.0,1.0,2.0,135
112,0.0,1.0,2.0,135
113,0.0,1.0,2.0,135
114,0.0,1.0,2.0,135
115,0.0,1.0,2.0,135
116,0.0,1.0,2.0,135
117,0.0,1.0,2.0,135
118,0.0,1.0,2.0,135
119,0.0,1.0,2.0,135
120,0.0,1.0,2.0,135
121,0.0,1.0,2.0,135
122,0.0,1.0,2.0,135
123,0.0,1.0,2.0,135
124,0.0,1.0,2.0,135
125,0.0,1.0,2.0,135
126,0.0,1.0,2.0,135
127,0.0,1.0,2.0,135
128,0.0,1.0,2.0,135
129,0.0,1.0,2.0,135
130,0.0,1.0,2.0,135
131,0.0,1.0,2.0,135
132,0.0,1.0,2.0,135
133,0.0,1.0,2.0,135
134,0.0,1.0,2.0,135
135,7814.568343020884,1.0,2.0,135
136,0.0,1.0,2.0,135
137,0.0,1.0,2.0,135
138,63226.68983333334,1.0,2.0,135
139,223879.33170829096,1.0,2.0,135
140,0.0,1.0,2.0,135
141,0.0,1.0,2.0,135
142,0.0,1.0,2.0,135
143,0.0,1.0,2.0,135
144,0.0,1.0,2.0,135
145,0.0,1.0,2.0,135
146,0.0,1.0,2.0,135
147,90671.49984813666,1.0,2.0,135
148,0.0,1.0,2.0,135
149,383357.3140690631,1.0,2.0,135
150,0.0,1.0,2.0,135
151,0.0,1.0,2.0,135
152,0.0,1.0,2.0,135
153,0.0,1.0,2.0,135
154,0.0,1.0,2.0,135
155,524875.9603235599,1.0,2.0,135
156,368640.6077004546,1.0,2.0,135
157,39002.5345,1.0,2.0,135
158,307648.6854476466,1.0,2.0,135
159,0.0,1.0,2.0,135
160,0.0,1.0,2.0,135
161,0.0,1.0,2.0,135
162,216153.06922116407,1.0,2.0,135
163,35288.95594359333,1.0,2.0,135
164,0.0,1.0,2.0,135
165,216153.0692211642,1.0,2.0,135
166,524875.9603235604,1.0,2.0,135
167,308722.8911023965,1.0,2.0,135
168,524875.9603235605,1.0,2.0,135
169,308722.8911023972,1.0,2.0,135
170,308722.89110239653,1.0,2.0,135
171,308722.8911023965,1.0,2.0,135
172,216153.06922116407,1.0,2.0,135
173,166802.68440934364,1.0,2.0,135
174,524875.9603235602,1.0,2.0,135
175,524875.9603235602,1.0,2.0,135
176,308722.8911023965,1.0,2.0,135
177,54134.888881681334,1.0,2.0,135
178,0.0,1.0,2.0,135
179,216153.06922116378,1.0,2.0,135
180,0.0,1.0,2.0,135
181,0.0,1.0,2.0,135
182,295402.0364376375,1.0,2.0,135
183,524875.960323562,1.0,2.0,135
184,41593.42782492833,1.0,2.0,135
185,0.0,1.0,2.0,135
186,0.0,1.0,2.0,135
187,161606.58305204657,1.0,2.0,135
188,216153.06922116378,1.0,2.0,135
189,0.0,1.0,2.0,135
190,0.0,1.0,2.0,135
191,216153.06922116378,1.0,2.0,135
192,0.0,1.0,2.0,135
193,0.0,1.0,2.0,135
194,103669.25587499166,1.0,2.0,135
195,216153.06922116433,1.0,2.0,135
196,216153.06922116378,1.0,2.0,135
197,216153.06922116378,1.0,2.0,135
