neighborhood_id,avg_unmet,w_cost,w_eq,centers_opened
1,0.0,1.0,3.0,132
2,0.0,1.0,3.0,132
3,0.0,1.0,3.0,132
4,0.0,1.0,3.0,132
5,0.0,1.0,3.0,132
6,0.0,1.0,3.0,132
7,0.0,1.0,3.0,132
8,0.0,1.0,3.0,132
9,0.0,1.0,3.0,132
10,246023.7511717059,1.0,3.0,132
11,0.0,1.0,3.0,132
12,124455.17158937,1.0,3.0,132
13,246023.7511717059,1.0,3.0,132
14,246023.7511717059,1.0,3.0,132
15,134125.814189444,1.0,3.0,132
16,0.0,1.0,3.0,132
17,199406.73946307515,1.0,3.0,132
18,0.0,1.0,3.0,132
19,0.0,1.0,3.0,132
20,0.0,1.0,3.0,132
21,0.0,1.0,3.0,132
22,0.0,1.0,3.0,132
23,0.0,1.0,3.0,132
24,134733.635373674,1.0,3.0,132
25,18803.185285573032,1.0,3.0,132
26,186766.11486743766,1.0,3.0,132
27,0.0,1.0,3.0,132
28,89079.75160856667,1.0,3.0,132
29,0.0,1.0,3.0,132
30,0.0,1.0,3.0,132
31,0.0,1.0,3.0,132
32,0.0,1.0,3.0,132
33,0.0,1.0,3.0,132
34,0.0,1.0,3.0,132
35,0.0,1.0,3.0,132
36,204698.01260703607,1.0,3.0,132
37,0.0,1.0,3.0,132
38,0.0,1.0,3.0,132
39,141603.67666466133,1.0,3.0,132
40,195462.29378849603,1.0,3.0,132
41,0.0,1.0,3.0,132
42,0.0,1.0,3.0,132
43,0.0,1.0,3.0,132
44,0.0,1.0,3.0,132
45,246023.7511717059,1.0,3.0,132
46,0.0,1.0,3.0,132
47,246023.7511717059,1.0,3.0,132
48,246023.7511717059,1.0,3.0,132
49,246023.7511717059,1.0,3.0,132
50,281189.9207978459,1.0,3.0,132
51,246023.7511717059,1.0,3.0,132
52,0.0,1.0,3.0,132
53,246023.7511717059,1.0,3.0,132
54,0.0,1.0,3.0,132
55,246023.7511717059,1.0,3.0,132
56,246023.7511717059,1.0,3.0,132
57,246023.7511717059,1.0,3.0,132
58,246023.7511717059,1.0,3.0,132
59,0.0,1.0,3.0,132
60,0.0,1.0,3.0,132
61,0.0,1.0,3.0,132
62,0.0,1.0,3.0,132
63,0.0,1.0,3.0,132
64,0.0,1.0,3.0,132
65,0.0,1.0,3.0,132
66,0.0,1.0,3.0,132
67,0.0,1.0,3.0,132
68,0.0,1.0,3.0,132
69,170863.89680923818,1.0,3.0,132
70,0.0,1.0,3.0,132
71,0.0,1.0,3.0,132
72,0.0,1.0,3.0,132
73,0.0,1.0,3.0,132
74,0.0,1.0,3.0,132
75,0.0,1.0,3.0,132
76,0.0,1.0,3.0,132
77,0.0,1.0,3.0,132
78,0.0,1.0,3.0,132
79,0.0,1.0,3.0,132
80,46617.011708630765,1.0,3.0,132
81,0.0,1.0,3.0,132
82,0.0,1.0,3.0,132
83,0.0,1.0,3.0,132
84,0.0,1.0,3.0,132
85,33575.50882431112,1.0,3.0,132
86,0.0,1.0,3.0,132
87,0.0,1.0,3.0,132
88,50365.891404576665,1.0,3.0,132
89,0.0,1.0,3.0,132
90,35807.06739129767,1.0,3.0,132
91,0.0,1.0,3.0,132
92,0.0,1.0,3.0,132
93,0.0,1.0,3.0,132
94,0.0,1.0,3.0,132
95,0.0,1.0,3.0,132
96,0.0,1.0,3.0,132
97,0.0,1.0,3.0,132
98,0.0,1.0,3.0,132
99,0.0,1.0,3.0,132
100,0.0,1.0,3.0,132
101,0.0,1.0,3.0,132
102,0.0,1.0,3.0,132
103,0.0,1.0,3.0,132
