neighborhood_id,avg_unmet,w_cost,w_eq,centers_opened
1,34047.54142098,1.0,6.0,137
2,111164.21622397,1.0,6.0,137
3,0.0,1.0,6.0,137
4,37884.271552896666,1.0,6.0,137
5,0.0,1.0,6.0,137
6,152827.2112268261,1.0,6.0,137
7,37243.759788359785,1.0,6.0,137
8,75214.24682809645,1.0,6.0,137
9,0.0,1.0,6.0,137
10,212283.63332168447,1.0,6.0,137
11,0.0,1.0,6.0,137
12,124455.17158937,1.0,6.0,137
13,212283.63332168447,1.0,6.0,137
14,212283.6333216847,1.0,6.0,137
15,134125.81418944398,1.0,6.0,137
16,0.0,1.0,6.0,137
17,175039.8735333247,1.0,6.0,137
18,0.0,1.0,6.0,137
19,0.0,1.0,6.0,137
20,7849.108208920033,1.0,6.0,137
21,0.0,1.0,6.0,137
22,0.0,1.0,6.0,137
23,37243.759788359785,1.0,6.0,137
24,134733.63537367395,1.0,6.0,137
25,18803.185285573032,1.0,6.0,137
26,175039.8735333247,1.0,6.0,137
27,0.0,1.0,6.0,137
28,89079.75160856667,1.0,6.0,137
29,0.0,1.0,6.0,137
30,0.0,1.0,6.0,137
31,0.0,1.0,6.0,137
32,0.0,1.0,6.0,137
33,121045.33557093593,1.0,6.0,137
34,0.0,1.0,6.0,137
35,0.0,1.0,6.0,137
36,195324.76068676508,1.0,6.0,137
37,0.0,1.0,6.0,137
38,0.0,1.0,6.0,137
39,141603.6766646613,1.0,6.0,137
40,208918.862823966,1.0,6.0,137
41,0.0,1.0,6.0,137
42,0.0,1.0,6.0,137
43,0.0,1.0,6.0,137
44,0.0,1.0,6.0,137
45,212283.63332168513,1.0,6.0,137
46,0.0,1.0,6.0,137
47,212283.63332168447,1.0,6.0,137
48,212283.63332168447,1.0,6.0,137
49,212283.63332168447,1.0,6.0,137
50,247449.8029478246,1.0,6.0,137
51,212283.63332168447,1.0,6.0,137
52,0.0,1.0,6.0,137
53,212283.63332168447,1.0,6.0,137
54,0.0,1.0,6.0,137
55,212283.63332168476,1.0,6.0,137
56,333328.9688926204,1.0,6.0,137
57,212283.63332168464,1.0,6.0,137
58,212283.63332168513,1.0,6.0,137
59,7761.806063537333,1.0,6.0,137
60,0.0,1.0,6.0,137
61,0.0,1.0,6.0,137
62,0.0,1.0,6.0,137
63,0.0,1.0,6.0,137
64,0.0,1.0,6.0,137
65,0.0,1.0,6.0,137
66,0.0,1.0,6.0,137
67,0.0,1.0,6.0,137
68,0.0,1.0,6.0,137
69,121045.33557093925,1.0,6.0,137
70,0.0,1.0,6.0,137
71,0.0,1.0,6.0,137
72,43569.31717288966,1.0,6.0,137
73,0.0,1.0,6.0,137
74,0.0,1.0,6.0,137
75,0.0,1.0,6.0,137
76,0.0,1.0,6.0,137
77,0.0,1.0,6.0,137
78,0.0,1.0,6.0,137
79,0.0,1.0,6.0,137
80,146145.22937411987,1.0,6.0,137
81,0.0,1.0,6.0,137
82,0.0,1.0,6.0,137
83,0.0,1.0,6.0,137
84,0.0,1.0,6.0,137
85,37243.759788359785,1.0,6.0,137
86,0.0,1.0,6.0,137
87,0.0,1.0,6.0,137
88,50365.891404576665,1.0,6.0,137
89,0.0,1.0,6.0,137
90,35807.06739129767,1.0,6.0,137
91,0.0,1.0,6.0,137
92,0.0,1.0,6.0,137
93,29986.581365940667,1.0,6.0,137
94,0.0,1.0,6.0,137
95,0.0,1.0,6.0,137
96,0.0,1.0,6.0,137
97,0.0,1.0,6.0,137
98,0.0,1.0,6.0,137
99,0.0,1.0,6.0,137
100,0.0,1.0,6.0,137
101,0.0,1.0,6.0,137
102,0.0,1.0,6.0,137
103,0.0,1.0,6.0,137
104,0.0,1.0,6.0,137
105,0.0,1.0,6.0,137
106,0.0,1.0,6.0,137
107,0.0,1.0,6.0,137
108,0.0,1.0,6.0,137
109,0.0,1.0,6.0,137
110,0.0,1.0,6.0,137
111,0.0,1.0,6.0,137
112,0.0,1.0,6.0,137
113,2846.1241166666664,1.0,6.0,137
114,0.0,1.0,6.0,137
115,42441.86738983468,1.0,6.0,137
116,212283.63332168447,1.0,6.0,137
117,0.0,1.0,6.0,137
118,0.0,1.0,6.0,137
119,66974.50777060779,1.0,6.0,137
120,121045.33557093593,1.0,6.0,137
121,0.0,1.0,6.0,137
122,212283.63332168447,1.0,6.0,137
123,0.0,1.0,6.0,137
124,720.8653643566632,1.0,6.0,137
125,0.0,1.0,6.0,137
126,66784.53213150466,1.0,6.0,137
127,212283.63332168444,1.0,6.0,137
128,73181.472887618,1.0,6.0,137
129,193157.9663729917,1.0,6.0,137
130,175039.8735333247,1.0,6.0,137
131,0.0,1.0,6.0,137
132,37243.759788359785,1.0,6.0,137
133,37243.759788359785,1.0,6.0,137
134,0.0,1.0,6.0,137
135,158289.09535929645,1.0,6.0,137
136,0.0,1.0,6.0,137
137,2102.4431014536735,1.0,6.0,137
138,37243.759788359785,1.0,6.0,137
139,197896.40166331743,1.0,6.0,137
140,121045.33557093609,1.0,6.0,137
141,121045.33557093593,1.0,6.0,137
142,0.0,1.0,6.0,137
143,0.0,1.0,6.0,137
144,0.0,1.0,6.0,137
145,0.0,1.0,6.0,137
146,0.0,1.0,6.0,137
147,90671.49984813666,1.0,6.0,137
148,0.0,1.0,6.0,137
149,262266.6503738617,1.0,6.0,137
150,0.0,1.0,6.0,137
151,0.0,1.0,6.0,137
152,0.0,1.0,6.0,137
153,0.0,1.0,6.0,137
154,0.0,1.0,6.0,137
155,333328.9688926204,1.0,6.0,137
156,272641.56010525307,1.0,6.0,137
157,37243.759788359785,1.0,6.0,137
158,223660.71411381572,1.0,6.0,137
159,0.0,1.0,6.0,137
160,0.0,1.0,6.0,137
161,0.0,1.0,6.0,137
162,121045.33557093593,1.0,6.0,137
163,35288.95594359333,1.0,6.0,137
164,0.0,1.0,6.0,137
165,121045.33557093593,1.0,6.0,137
166,333328.9688926204,1.0,6.0,137
167,212283.63332168447,1.0,6.0,137
168,333328.9688926218,1.0,6.0,137
169,212283.63332168452,1.0,6.0,137
170,212283.63332168447,1.0,6.0,137
171,212283.63332168464,1.0,6.0,137
172,121045.3355709359,1.0,6.0,137
173,121045.33557093593,1.0,6.0,137
