Year,ObjectiveValue,TotalDistance,WorstUnmetDemand
2023,7.0681438023949675e6,6.685607419572197e6,191268.1914113862
2024,8.071493079179068e6,6.613054967328906e6,729219.0559250804
2025,8.179988985378873e6,7.18893275172211e6,495528.11682838
