Year,Obj_Stochastic,Obj_Deterministic,Obj_Diff_%,Dist_Stochastic,Dist_Deterministic,Dist_Diff_%,Worst_Stochastic,Worst_Deterministic,Worst_Diff_%
2023,6820416.019766887,7233442.914956309,-5.70996273898039,5080862.91438921,6767640.492832253,-24.924160499210082,139851.0351258923,155267.47404135214,-9.928955829701984
2024,8473974.556865433,8731271.570637124,-2.9468447028605635,5359313.901697757,6932532.223981472,-22.69327096441809,598220.2183892254,599579.782218551,-0.22675278080507968
2025,9101196.790280916,8630035.213152654,5.459555673772742,6243421.718997772,7384386.963906073,-15.451048956198957,512591.69042771455,415216.0830821937,23.45179084169651
