from_type,from_id,to_type,to_id,flow
restaurant,429,center,35,64163.7900689931
restaurant,430,center,100,65878.9592687506
restaurant,431,center,2,20099.515601881707
restaurant,431,center,91,49722.78672481819
restaurant,432,center,87,70078.1954614175
restaurant,433,center,97,31976.9777606198
restaurant,434,center,147,53042.5886488254
restaurant,435,center,61,62760.7617517344
restaurant,436,center,91,105963.410201373
restaurant,437,center,4,103897.847888731
restaurant,438,center,196,83209.7310351659
restaurant,439,center,87,84473.9636413911
restaurant,440,center,147,90783.0640755609
restaurant,441,center,91,88418.4784640422
restaurant,442,center,97,29098.2278174445
restaurant,443,center,69,75215.3826810664
restaurant,444,center,100,49357.8443903966
restaurant,445,center,16,65249.4564109403
restaurant,446,center,97,41577.4546182819
restaurant,447,center,130,9148.799335498828
restaurant,447,center,147,30127.09497234317
restaurant,448,center,18,86522.7811689043
restaurant,449,center,104,90495.2656131652
restaurant,450,center,18,80897.9777746562
restaurant,451,center,91,117689.268710056
restaurant,452,center,100,35997.6223152172
restaurant,453,center,170,75850.7927461396
restaurant,454,center,170,75527.6176299923
restaurant,455,center,147,62041.2513086957
restaurant,456,center,100,101950.419618091
restaurant,457,center,16,64134.1918471147
restaurant,458,center,4,101400.040713984
restaurant,459,center,2,1136.1837290547555
restaurant,459,center,4,35638.575351759944
restaurant,460,center,61,51615.2573082761
restaurant,461,center,97,137734.534626693
restaurant,462,center,126,107490.622411784
restaurant,463,center,61,93961.6296599535
restaurant,464,center,61,105578.861358439
restaurant,465,center,170,85570.1330334844
restaurant,466,center,87,36946.6188463387
restaurant,467,center,18,62011.9513722711
restaurant,468,center,147,49397.0418752065
restaurant,469,center,100,58328.160357427
restaurant,470,center,75,104380.200077361
restaurant,471,center,2,26524.91667724411
restaurant,471,center,87,49722.78672481819
restaurant,472,center,184,90101.8954480919
restaurant,473,center,2,7419.041206010515
restaurant,473,center,91,49722.78672481819
restaurant,474,center,2,61517.9326978318
restaurant,475,center,12,117959.266854453
restaurant,476,center,35,16512.06368528983
restaurant,476,center,87,49722.2224702952
restaurant,476,center,130,17250.05604304297
restaurant,477,center,85,89268.6066428527
restaurant,478,center,147,86241.5189477543
restaurant,479,center,35,87119.8760091242
restaurant,480,center,91,56682.049169888
restaurant,481,center,97,102843.154399676
restaurant,482,center,12,98705.9370288857
restaurant,483,center,170,63640.3651723283
restaurant,484,center,147,109455.562349938
restaurant,485,center,18,88867.2270425124
restaurant,486,center,138,76784.6938616743
restaurant,487,center,91,79843.761728961
restaurant,488,center,147,83347.9828994494
restaurant,489,center,149,116807.817254832
restaurant,490,center,2,51043.062314493814
restaurant,490,center,87,49722.78672481819
restaurant,491,center,138,112898.721344271
restaurant,492,center,196,99521.6708649925
restaurant,493,center,91,79941.4429122949
restaurant,494,center,69,72977.2890417366
restaurant,495,center,87,78337.0219441049
restaurant,496,center,147,106423.309770809
restaurant,497,center,130,38612.2320979608
restaurant,498,center,2,46977.32856025711
restaurant,498,center,18,49722.78672481819
restaurant,499,center,147,76470.2981800272
restaurant,500,center,2,44372.42134235411
restaurant,500,center,91,49722.78672481819
center,2,neighborhood,45,755221.2344483647
center,2,neighborhood,187,298299.78146930924
center,4,neighborhood,10,1.17085996e6
center,4,neighborhood,53,447784.938942167
center,4,neighborhood,138,15265.265476669592
center,4,neighborhood,171,368505.7042424958
center,12,neighborhood,155,427306.2780707134
center,16,neighborhood,53,2.302361107057833e6
center,18,neighborhood,45,1.1343366985516353e6
center,18,neighborhood,50,319917.5862
center,35,neighborhood,58,901423.6711229851
center,35,neighborhood,133,907464.7561766696
center,61,neighborhood,170,881972.4805149734
center,64,neighborhood,47,156023.3795
center,64,neighborhood,187,217828.41700736017
center,69,neighborhood,23,255191.1564
center,69,neighborhood,57,1.1846020718988075e6
center,75,neighborhood,127,568444.4566941948
center,77,neighborhood,57,1161.4761011923838
center,85,neighborhood,170,208470.34472289606
center,87,neighborhood,13,816321.473
center,87,neighborhood,40,77079.7641
center,87,neighborhood,55,1.540329219e6
center,87,neighborhood,80,527121.2398766696
center,91,neighborhood,135,2.0696762101766698e6
center,97,neighborhood,7,225650.6732
center,97,neighborhood,49,575068.8268
center,97,neighborhood,127,630375.7454824746
center,97,neighborhood,171,140162.54523417368
center,97,neighborhood,176,414710.3444766696
center,100,neighborhood,129,717725.2238031252
center,100,neighborhood,183,979371.0730159426
center,104,neighborhood,14,567429.1908
center,118,neighborhood,149,115407.51167666959
center,118,neighborhood,183,93446.58416072701
center,126,neighborhood,36,412136.3796
center,126,neighborhood,58,836067.7748770149
center,130,neighborhood,99,117472.47587666957
center,130,neighborhood,174,787569.2289766695
center,138,neighborhood,51,2.014610081e6
center,147,neighborhood,166,1.6236177999409828e6
center,147,neighborhood,167,2.552853740372959e6
center,149,neighborhood,6,82217.31493
center,149,neighborhood,48,13509.209696550213
center,149,neighborhood,56,882935.4792
center,149,neighborhood,175,407799.31217666954
center,162,neighborhood,48,797028.3115034497
center,162,neighborhood,85,2157.4517766695935
center,162,neighborhood,129,90085.42637354427
center,170,neighborhood,155,1.0563073340053733e6
center,184,neighborhood,155,791312.5351005828
center,184,neighborhood,167,136282.8068037103
center,185,neighborhood,139,333287.3808766696
center,185,neighborhood,166,45285.589235686406
center,190,neighborhood,8,904474.3638
center,195,neighborhood,170,711718.0149388
center,196,neighborhood,169,433606.0505766696
center,198,neighborhood,116,247599.80817666958
