id,latitude,longitude
1,40.635514,-74.022767
2,40.752606,-73.969036
3,40.76346,-74.00025
4,40.76198,-73.9693
5,40.717424,-74.010793
6,40.641967,-74.077928
7,40.8149687,-73.9560903
8,40.67629,-73.94925
9,40.654917,-73.962083
10,40.697694,-73.925806
11,40.69288,-73.97391
12,40.592723,-74.135113
13,40.6674207,-73.9102833
14,40.72534977,-73.97862785
15,40.683367,-73.7922279
16,40.7657836,-73.7408196
17,40.68218,-73.87687
18,40.74777,-73.95486
19,40.83285272,-73.88308033
20,40.773404,-73.981848
21,40.724493,-73.94375
22,40.64496,-73.98016
23,40.7640828,-73.8695398
24,40.824235,-73.94983
25,40.6742335,-73.8878004
26,40.6400446,-73.9482956
27,40.7202214,-74.0128434
28,40.67541,-73.99128
29,40.57825446,-73.97970298
30,40.8504801,-73.8679953
31,40.66085,-73.95283
32,40.738228,-74.0104549
33,40.750278,-73.89678
34,40.8611153,-73.8900366
35,40.73661,-73.9893
36,40.68133,-73.93481
37,40.646152,-74.002213
38,40.83593121,-73.93919065
39,40.63692705,-74.07670907
40,40.796764,-73.931341
41,40.641194,-73.965472
42,40.67465,-73.91823
43,40.846468,-73.894107
44,40.59549,-73.77648
45,40.80796868,-73.917581
46,40.752222,-74.008278
47,40.802223,-73.934723
48,40.6846363,-73.7809824
49,40.649778,-73.963194
50,40.8139813,-73.81908033
51,40.65952663,-73.90591
52,40.691403,-74.019696
53,40.753687,-73.886999
54,40.728415,-73.84711
55,40.701501,-73.98263
56,40.67623,-73.93295
57,40.670745,-73.957743
58,40.70888,-73.82917
59,40.83316,-73.92728
60,40.746948,-73.921208
61,40.877299,-73.900709
62,40.71974,-73.953394
63,40.8075392,-73.9506789
64,40.749728,-73.862513
65,40.8774032,-73.8794743
66,40.7298117,-74.0110087
67,40.77538,-73.92302
68,40.75914,-73.92146
69,40.737472,-74.005095
70,40.70216,-73.80445
71,40.823692,-73.943764
72,40.6688541,-73.8857006
73,40.6840598,-73.9050492
74,40.62988,-74.010582
75,40.83343,-73.861655
76,40.761833,-73.950139
77,40.7489842,-74.0071142
78,40.823225,-73.95617
79,40.780087,-73.974657
80,40.707547,-73.864884
81,40.8432747,-73.9162121
82,40.768389,-73.937
83,40.8097074,-73.9185797
84,40.595012,-73.7765544
85,40.870106,-73.920792
86,40.756032,-74.006046
87,40.7281,-73.979
88,40.632583,-73.948111
89,40.78951562,-73.9716111
90,40.75013,-73.91369
91,40.746199,-73.919118
92,40.714448,-73.968049
93,40.779055,-73.944665
94,40.73833,-73.87775
95,40.62214652,-73.9084944
96,40.6727118,-73.984731
97,40.79426591,-73.93441424
98,40.641619,-74.1012686
99,40.81714524,-73.94088227
100,40.7081655,-73.8342141
101,40.705441,-73.93882
102,40.715889,-73.986861
103,40.761472,-73.925611
104,40.7601267,-73.9949035
105,40.754004,-73.885483
106,40.693609,-73.990261
107,40.7003,-73.906675
108,40.66547,-73.88668
109,40.6676529,-73.8940832
110,40.688793,-73.904826
111,40.6871579,-74.0201142
112,40.6785,-73.912
113,40.794717,-73.969552
114,40.844901,-73.887287
115,40.6547305,-74.0018481
116,40.636758,-74.119727
117,40.609644,-73.999683
118,40.7018967,-73.7834692
119,40.71645,-73.85778
120,40.87896,-73.87585
121,40.774194,-73.911611
122,40.864176,-73.900932
123,40.742827,-74.0078384
124,40.90354363,-73.90384467
125,40.68596,-73.99701
126,40.742278,-73.98725
127,40.734225,-74.010722
128,40.725995,-73.983207
129,40.82135,-73.92506
130,40.723183,-73.988622
131,40.748406,-73.721002
132,40.785792,-73.950833
133,40.6657639,-73.9918034
134,40.74387,-73.9562
135,40.613444,-74.095028
136,40.745331,-73.998272
137,40.7183877,-74.0148782
138,40.7724122,-73.9053388
139,40.80014,-73.94232
140,40.6689286,-73.876838
141,40.756149,-73.907915
142,40.762667,-73.915111
143,40.7475361,-73.8820084
144,40.6516767,-73.9059912
145,40.873838,-73.895344
146,40.671653,-73.889806
147,40.6726299,-74.0103773
148,40.671899,-73.969673
149,40.64451,-73.92038
150,40.583757,-74.161931
151,40.840005,-73.916636
152,40.7067584,-74.0171557
153,40.74268,-73.89566
154,40.75159,-73.82981
155,40.8215402,-73.9155499
156,40.67741,-73.972226
157,40.7296982,-73.9601997
158,40.88201,-73.880346
159,40.66362877,-73.9190362
160,40.764056,-73.915722
161,40.850947,-73.938068
162,40.721268,-73.846877
163,40.7616519,-73.8720745
164,40.66481607,-73.89751893
165,40.707626,-73.836079
166,40.69056,-73.80395
167,40.80811,-73.91752
168,40.712164,-73.980547
169,40.666485,-73.950935
170,40.63034,-74.11616
171,40.771,-73.995372
172,40.63990101,-74.09028654
173,40.654139,-73.976444
174,40.714243,-73.990163
175,40.78895766,-73.94920119
176,40.7432328,-73.9431336
177,40.7427093,-73.892547
178,40.674065,-73.885109
179,40.831187,-73.900567
180,40.67744,-73.953657
181,40.733536,-74.002663
182,40.66392,-73.76626
183,40.83268,-73.918805
184,40.716483,-74.014855
185,40.6174,-74.033703
186,40.81380167,-73.94286914
187,40.88207,-73.88825
188,40.807138,-73.96437
189,40.7256282,-74.003866
190,40.85322611,-73.8434618
191,40.6472062,-73.9526235
192,40.679954,-73.99517
193,40.820124,-73.895674
194,40.672077,-73.996401
195,40.879247,-73.90727
196,40.839897,-73.879181
197,40.708464,-74.016164
198,40.8575626,-73.909437
199,40.6843646,-73.9107326
200,40.6483066,-73.9772287
201,40.69955,-73.93066
