Year,ObjectiveValue,TotalDistance,WorstUnmetDemand,TotalDemand,TotalReceived,TotalUnmet
2023,6.696457208828015e6,4.967097069828015e6,189680.0695,4.261486757112e7,3.729225025920232e7,5.322617311917673e6
2024,7.866117330613708e6,5.043140122999329e6,736488.6038071894,5.906519803142089e7,3.729225025919232e7,2.1772947772228543e7
2025,8.56140924832502e6,5.914490832998037e6,648459.2076634914,5.0759264612963565e7,3.7292250259212926e7,1.3467014353750426e7
